Food code,Main food description
11000000,"Milk, human"
11100000,"Milk, NFS"
11111000,"Milk, whole"
11111100,"Milk, low sodium, whole"
11111150,"Milk, calcium fortified, whole"
11111160,"Milk, calcium fortified, low fat (1%)"
11111170,"Milk, calcium fortified, fat free (skim)"
11112110,"Milk, reduced fat (2%)"
11112120,"Milk, acidophilus, low fat (1%)"
11112130,"Milk, acidophilus, reduced fat (2%)"
11112210,"Milk, low fat (1%)"
11113000,"Milk, fat free (skim)"
11114300,"Milk, lactose free, low fat (1%)"
11114320,"Milk, lactose free, fat free (skim)"
11114330,"Milk, lactose free, reduced fat (2%)"
11114350,"Milk, lactose free, whole"
11115000,"Buttermilk, fat free (skim)"
11115100,"Buttermilk, low fat (1%)"
11115200,"Buttermilk, reduced fat (2%)"
11115300,"Buttermilk, whole"
11115400,"Kefir, NS as to fat content"
11116000,"Goat's milk, whole"
11120000,"Milk, dry, reconstituted, NS as to fat content"
11121100,"Milk, dry, reconstituted, whole"
11121210,"Milk, dry, reconstituted, low fat (1%)"
11121300,"Milk, dry, reconstituted, fat free (skim)"
11210050,"Milk, evaporated, NS as to fat content"
11211050,"Milk, evaporated, whole"
11211400,"Milk, evaporated, reduced fat (2%)"
11212050,"Milk, evaporated, fat free (skim)"
11220000,"Milk, condensed, sweetened"
11320000,Soy milk
11320100,"Soy milk, light"
11320200,"Soy milk, nonfat"
11321000,"Soy milk, chocolate"
11321100,"Soy milk, light, chocolate"
11321200,"Soy milk, nonfat, chocolate"
11340000,"Imitation milk, non-soy, sweetened"
11350000,"Almond milk, sweetened"
11350010,"Almond milk, sweetened, chocolate"
11350020,"Almond milk, unsweetened"
11350030,"Almond milk, unsweetened, chocolate"
11360000,Rice milk
11370000,Coconut milk
11410000,"Yogurt, NS as to type of milk or flavor"
11411010,"Yogurt, plain, NS as to type of milk"
11411100,"Yogurt, plain, whole milk"
11411200,"Yogurt, plain, low fat milk"
11411300,"Yogurt, plain, nonfat milk"
11411400,"Yogurt, Greek, plain, whole milk"
11411410,"Yogurt, Greek, plain, low fat"
11411420,"Yogurt, Greek, plain, nonfat milk"
11420000,"Yogurt, vanilla, NS as to type of milk"
11421000,"Yogurt, vanilla, whole milk"
11422000,"Yogurt, vanilla, low fat milk"
11422100,"Yogurt, vanilla, low fat milk, light"
11423000,"Yogurt, vanilla, nonfat milk"
11424000,"Yogurt, vanilla, nonfat milk, light"
11424500,"Yogurt, Greek, vanilla, whole milk"
11424510,"Yogurt, Greek, vanilla, low fat"
11424520,"Yogurt, Greek, vanilla, nonfat"
11425000,"Yogurt, chocolate, NS as to type of milk"
11426000,"Yogurt, chocolate, whole milk"
11427000,"Yogurt, chocolate, nonfat milk"
11428000,"Yogurt, Greek, chocolate, nonfat"
11430000,"Yogurt, fruit, NS as to type of milk"
11431000,"Yogurt, fruit, whole milk"
11432000,"Yogurt, fruit, low fat milk"
11432500,"Yogurt, fruit, low fat milk, light"
11433000,"Yogurt, fruit, nonfat milk"
11433500,"Yogurt, fruit, nonfat milk, light"
11434000,"Yogurt, Greek, fruit, whole milk"
11434010,"Yogurt, Greek, fruit, low fat"
11434020,"Yogurt, Greek, fruit, nonfat"
11446000,Fruit and low fat yogurt parfait
11459990,"Yogurt, frozen, NS as to flavor, NS as to type of milk"
11460000,"Yogurt, frozen, flavors other than chocolate, NS as to type of milk"
11460100,"Yogurt, frozen, chocolate, NS as to type of milk"
11460150,"Yogurt, frozen, NS as to flavor, lowfat milk"
11460160,"Yogurt, frozen, chocolate, lowfat milk"
11460170,"Yogurt, frozen, flavors other than chocolate, lowfat milk"
11460190,"Yogurt, frozen, NS as to flavor, nonfat milk"
11460200,"Yogurt, frozen, chocolate, nonfat milk"
11460250,"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated"
11460300,"Yogurt, frozen, flavors other than chocolate, nonfat milk"
11460400,"Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener"
11460410,"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener"
11460420,"Yogurt, frozen, NS as to flavor, whole milk"
11460430,"Yogurt, frozen, chocolate, whole milk"
11460440,"Yogurt, frozen, flavors other than chocolate, whole milk"
11461000,"Yogurt, frozen, chocolate-coated"
11461200,"Yogurt, frozen, sandwich"
11461250,"Yogurt, frozen, cone, chocolate"
11461260,"Yogurt, frozen, cone, flavors other than chocolate"
11461270,"Yogurt, frozen, cone, flavors other than chocolate, lowfat milk"
11461280,"Yogurt, frozen, cone, chocolate, lowfat milk"
11480010,"Yogurt, whole milk, baby food"
11480020,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS"
11480030,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron"
11480040,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA"
11511000,"Chocolate milk, NFS"
11511100,"Chocolate milk, ready to drink, whole"
11511200,"Chocolate milk, ready to drink, reduced fat (2%)"
11511300,"Chocolate milk, ready to drink, fat free (skim)"
11511400,"Chocolate milk, ready to drink, low fat (1%)"
11511550,"Chocolate milk, ready to drink, reduced sugar, NS as to milk"
11511600,"Nesquik, chocolate milk, ready to drink, low fat (1%)"
11511610,"Nesquik, chocolate milk, ready to drink, fat free (skim)"
11511700,"Nesquik, chocolate milk, ready to drink, low fat (1%), no sugar added"
11512010,"Hot chocolate / Cocoa, ready to drink"
11512020,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk"
11512030,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk"
11512100,"Hot chocolate / Cocoa, ready to drink, with whipped cream"
11512110,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream"
11512120,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream"
11513000,"Chocolate milk, made from dry mix, NS as to type of milk"
11513100,"Chocolate milk, made from dry mix with whole milk"
11513150,"Chocolate milk, made from dry mix with reduced fat milk (2%)"
11513200,"Chocolate milk, made from dry mix with low fat milk (1%)"
11513300,"Chocolate milk, made from dry mix with fat free milk (skim)"
11513310,"Chocolate milk, made from dry mix with non-dairy milk"
11513350,"Chocolate milk, made from reduced sugar mix, NS as to type of milk"
11513355,"Chocolate milk, made from reduced sugar mix with whole milk"
11513360,"Chocolate milk, made from reduced sugar mix with reduced fat milk (2%)"
11513365,"Chocolate milk, made from reduced sugar mix with low fat milk (1%)"
11513370,"Chocolate milk, made from reduced sugar mix with fat free milk (skim)"
11513375,"Chocolate milk, made from reduced sugar mix with non-dairy milk"
11513380,"Nesquik, chocolate milk, made from dry mix, NS as to type of milk"
11513381,"Nesquik, chocolate milk, made from dry mix with whole milk"
11513382,"Nesquik, chocolate milk, made from dry mix with reduced fat milk (2%)"
11513383,"Nesquik, chocolate milk, made from dry mix with low fat milk (1%)"
11513384,"Nesquik, chocolate milk, made from dry mix with fat free milk (skim)"
11513385,"Nesquik, chocolate milk, made from dry mix with non-dairy milk"
11513390,"Nesquik, chocolate milk, made from no sugar added dry mix, NS as to type of milk"
11513391,"Nesquik, chocolate milk, made from no sugar added dry mix with whole milk"
11513392,"Nesquik, chocolate milk, made from no sugar added dry mix with reduced fat milk (2%)"
11513393,"Nesquik, chocolate milk, made from no sugar added dry mix with low fat milk (1%)"
11513394,"Nesquik, chocolate milk, made from no sugar added dry mix with fat free milk (skim)"
11513395,"Nesquik, chocolate milk, made from no sugar added dry mix with non-dairy milk"
11513400,"Chocolate milk, made from syrup, NS as to type of milk"
11513500,"Chocolate milk, made from syrup with whole milk"
11513550,"Chocolate milk, made from syrup with reduced fat milk (2%)"
11513600,"Chocolate milk, made from syrup with low fat milk (1%)"
11513700,"Chocolate milk, made from syrup with fat free milk (skim)"
11513750,"Chocolate milk, made from syrup with non-dairy milk"
11513800,"Chocolate milk, made from light syrup, NS as to type of milk"
11513801,"Chocolate milk, made from light syrup with whole milk"
11513802,"Chocolate milk, made from light syrup with reduced fat milk (2%)"
11513803,"Chocolate milk, made from light syrup with low fat milk (1%)"
11513804,"Chocolate milk, made from light syrup with fat free milk (skim)"
11513805,"Chocolate milk, made from light syrup with non-dairy milk"
11513850,"Chocolate milk, made from sugar free syrup, NS as to type of milk"
11513851,"Chocolate milk, made from sugar free syrup with whole milk"
11513852,"Chocolate milk, made from sugar free syrup with reduced fat milk (2%)"
11513853,"Chocolate milk, made from sugar free syrup with low fat milk (1%)"
11513854,"Chocolate milk, made from sugar free syrup with fat free milk (skim)"
11513855,"Chocolate milk, made from sugar free syrup with non-dairy milk"
11514100,"Hot chocolate / Cocoa, made with dry mix and water"
11514110,"Hot chocolate / Cocoa, made with dry mix and whole milk"
11514120,"Hot chocolate / Cocoa, made with dry mix and reduced fat milk (2%)"
11514130,"Hot chocolate / Cocoa, made with dry mix and low fat milk (1%)"
11514140,"Hot chocolate / Cocoa, made with dry mix and fat free milk (skim)"
11514150,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk"
11514310,"Hot chocolate / Cocoa, made with no sugar added dry mix and water"
11514320,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk"
11514330,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk (2%)"
11514340,"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk (1%)"
