,Food Code,Name,Serving (g),DR1IKCAL,DR1ICARB,DR1IPROT,DR1ITFAT,DR1ISUGR,DR1IFIBE,DR1ISFAT,DR1ICHOL,DR1IIRON,DR1ISODI,DR1ICAFF
0,11,milk,244,160.1217239,18.76932581,7.164770371,6.317385626,17.98937422,0.227851425,3.297304437,13.98602414,1.009011665,108.3924985,0.275727534
1,12,Cream,32,89.93844476,9.079805766,0.625051561,6.024164099,4.690817394,0.054735656,3.004305451,4.849306797,0.079273766,32.19047998,0.048391483
2,13,Ice Cream,130,265.9364069,33.30309631,4.806403545,12.8982641,26.84188795,0.862858906,7.432040557,46.90846624,0.373520601,120.433907,1.35499351
3,14,Cheese,32,104.7368925,2.15597871,6.151095345,7.967355486,0.885507578,0.044015528,4.537841737,24.52251798,0.168811181,261.8140228,0
4,21,Beef,65,150.0042921,0.537150888,18.04262182,7.99334901,0.288040422,0.049413848,3.163357303,54.40582211,1.673207672,291.1129412,0
5,22,Pork,84,259.0201925,1.369728421,24.82495908,16.49819379,0.299182793,0.039933374,5.538907917,73.02614089,0.813873544,854.6057512,0
6,23,Lamb/Goat/Veal/Venison,85,174.7297684,1.337004714,23.72280474,7.549696624,0.106400638,0.073430274,2.961954004,76.99048129,2.697314773,312.4331776,0
7,24,Chicken/Turkey,110,242.5401091,6.442205811,24.78411595,12.6968814,0.689989885,0.386785485,2.828240333,99.47090214,0.957190453,550.0508039,0
8,25,Sussages,100,212.7579409,2.482736973,16.00351867,15.21424952,0.706583993,0.01011206,5.164528409,67.56607128,1.026245442,931.8667733,0
9,26,Fish,85,147.4472051,4.364977875,16.84400164,6.666340887,0.340153214,0.267989947,1.298444273,65.10787648,0.803677662,368.632701,0
10,27,Stew (meat/rice/vegetable),140,282.0579942,21.33926916,16.80100894,14.3211279,4.540259414,1.537812076,4.589731654,53.90956732,2.164065506,639.3931627,0.005911391
11,28,frozen meal (containing meat and vegetables),312,215.3390649,18.37946692,15.41605711,9.226202823,4.498818174,2.113551194,3.176437379,44.1274527,1.797087075,1149.504592,0.010849532
12,31,egg,50,94.74176605,0.478746185,6.627028158,7.162616576,0.217366114,0,2.183757338,209.0036104,0.915096853,222.2628026,0
13,32,egg omelet,61,107.5752957,2.060914915,7.012414312,7.758569114,1.089119163,0.07023038,2.535428499,161.940858,0.8419617,246.6334439,0
14,33,egg omelet substitute,61,40.89363728,1.395232151,6.795502667,0.905964746,1.365531668,0,0.111360798,0,1.355177309,331.7992352,0
15,41,Beans,28.35,44.02734847,5.685646148,2.33873482,1.468890056,0.52403335,1.787007957,0.238904913,0.302809399,0.592942156,158.030656,0
16,42,Nuts,28.35,148.3525771,7.720771065,4.899167324,11.91685169,2.695592903,1.740152896,2.017832727,0.027106488,0.741347013,74.44820186,0.027106488
17,43,Seeds,30,167.2702071,7.810454006,5.896930552,13.5530532,0.54874285,6.151616552,1.422098203,0,1.679879411,15.10087731,0
18,51,Bread,25,72.54248417,12.29656078,2.46292735,1.482741486,1.738562774,0.900894561,0.406231689,1.21017769,0.781773132,119.0214864,0.001917362
19,52,Biscuits,49,141.1935185,23.06901159,3.067549007,4.309504025,3.486446905,2.117950342,1.245872626,5.074111655,0.970936792,178.9252937,0.154201253
20,53,Cakes/cookies/pies,28.35,120.2970496,17.4243259,1.609542122,5.134639978,8.734809994,0.625973699,1.667052231,4.504570434,0.961424072,93.66664232,0.85705512
21,54,Crackers,30,143.0465851,19.49825954,2.434528469,6.274751413,1.854633663,1.286225173,1.365538096,0.592300474,1.265444194,210.7373592,0.004851752
22,55,Pancakes/waffles,140,380.1573199,53.16623403,9.897737771,14.26393909,9.791593642,3.26185714,3.517955346,59.32310161,4.624478407,752.9397476,0.132698265
23,56,Macaroni/Noodle/pasta/rice,176,212.3526059,40.74413073,5.17225699,2.951154583,2.020326484,1.835962567,0.758068536,2.204897659,2.211926696,336.0852405,0
24,57,Cereal,55,205.8168616,43.93617415,4.303108708,2.370086961,11.84402592,3.359014203,0.515098184,0.002635265,15.81503331,215.6450001,0.108919248
25,58,Burrito/Taco/Enchilada/Pizza/lasanga,198,371.6958253,43.12018693,14.77903825,15.59169613,4.534131412,3.612944082,5.819633628,37.92545158,2.691883768,773.3614026,0
26,59,"Meat substitute, cereal- and vegetable protein-based, fried",100,335.0031309,61.86599875,11.27113338,7.044458359,0.500939261,9.079524108,1.036318096,0,4.038822793,281.7783344,0
27,61,grapefruit/lemon/orange,236,104.1130137,25.99948836,1.715679783,0.341050283,19.10608037,2.482597677,0.044702794,0,0.298287719,3.478961933,0
28,62,dried fruit,28.35,85.76503716,21.76680718,0.608832391,0.642800371,17.23767309,1.370721403,0.305841714,0,0.390446493,3.302086264,0
29,63,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/,182,120.9538653,27.76929767,1.371320009,1.889007269,19.02785907,4.079970201,0.308802094,0.01054545,0.493793433,10.69894228,0.022475686
30,64,fruit juice,249,120.8121028,29.3856562,0.531054257,0.344288921,25.33644877,0.656699704,0.057458093,0.027363043,0.419237232,11.81241979,0
31,71,potato,369,1165.883328,138.9932835,14.35630135,64.79486665,6.793907658,10.82069219,10.65501735,9.818642884,3.13667328,1307.61514,0
32,72,beet greens/collards/cress/romaine/greens/spinach,38,13.98799541,2.017720511,1.068953799,0.457579538,0.419729965,1.043917974,0.129996414,0.556233808,0.494143455,65.13679142,0
33,73,carrots/pumpkin/squash/sweet potato/,72,52.22459336,9.374896908,0.821690458,1.607073215,4.038175888,2.102880912,0.319307671,0.648430308,0.350621656,110.4385221,0
34,74,tomato/salsa/,123,71.24280977,17.15903201,1.293079991,0.532318646,12.79464967,1.060206313,0.069295036,0.099081709,0.484504895,605.3964959,0
